CODE,DESCRIPTION,MAJOR_CATEGORY,MINOR_CATEGORY
PR81,Discharges.,DRG/Outlier,DRG/Outlier
PR82,PIP days.,DRG/Outlier,DRG/Outlier
PR83,Total visits.,DRG/Outlier,DRG/Outlier
PR84,Capital Adjustment. (Handled in MIA),DRG/Outlier,DRG/Outlier
PR85,Interest amount.,Contractual/Payment,Contractual/Payment/Other
PR86,Statutory Adjustment.,Contractual/Payment,Contractual/Payment/Other
PR87,Transfer amount.,Contractual/Payment,Contractual/Payment/Other
PR88,Adjustment amount represents collection against receivable created in prior overpayment.,Refund/Recovery,Refund/Recovery
PR89,Professional fees removed from charges.,COB/Other Payer,COB/Other Payer
PR9,The diagnosis is inconsistent with the patient's age,Provider Billing Error,Provider Billing Error/Diagnosis
PR90,Ingredient cost adjustment.,Other Insurance,Coverage/Workers Comp
PR91,Dispensing fee adjustment.,Medical Necessity/Review,Medical Necessity/Review
PR92,Claim Paid in full.,Other Insurance,Coverage/Workers Comp
PR93,No Claim level Adjustments.,Coverage/Eligibility,Coverage/Eligibility
PR94,Processed in Excess of charges.,Program/Demo Adjustment,Program/Demo
PR95,Benefits adjusted. Plan procedures not followed.,Provider Billing Error,Provider Billing Error/Other
PR96,Non-covered charge(s),Coverage/Eligibility,Coverage/Eligibility
PR97,Payment is included in another service/procedure,Bundled/Inclusive,Bundled/Inclusive
PR98,The hospital must file the Medicare claim for this inpatient non-physician service.,Benefit Limits,Benefit Limits
PR99,Medicare Secondary Payer Adjustment Amount.,COB/Other Payer,COB/Other Payer
PRA0,Patient refund amount.,Refund/Recovery,Refund/Recovery
PRA1,Claim/Service denied. At least one Remark Code must be provided (may be comprised of either the Remittance Advice Remark Code or NCPDP Reject Reason Code).,Patient Responsibility,Patient Responsibility/Deductible
PRA2,Coinsurance Amount,Patient Responsibility,Patient Responsibility/Coinsurance
PRA3,Medicare Secondary Payer liability met.,COB/Other Payer,COB/Other Payer
PRA4,Medicare Claim PPS Capital Day Outlier Amount.,Provider Billing Error,Provider Billing Error/Modifier
PRA5,Medicare Claim PPS Capital Cost Outlier Amount.,Provider Billing Error,Provider Billing Error/POS
PRA6,Prior hospitalization or 30 day transfer requirement not met.,Provider Billing Error,Provider Billing Error/Coding
PRA7,Presumptive Payment Adjustment,Provider Billing Error,Provider Billing Error/Coding
PRA8,Claim denied; ungroupable DRG,Provider Billing Error,Provider Billing Error/Coding
PRB1,Non-covered visits.,Patient Responsibility,Patient Responsibility/Deductible
PRB10,Allowed amount has been reduced because a component of the basic procedure/test was paid. The beneficiary is not liable for more than the charge limit for the basic procedure/test.,Provider Billing Error,Provider Billing Error/Diagnosis
PRB11,The diagnosis is inconsistent with the procedure,Provider Billing Error,Provider Billing Error/Diagnosis
PRB12,Services not documented in patients' medical records.,Documentation/Attachments,Documentation/Attachments
PRB13,Previously paid. Payment for this claim/service may have been provided in a previous payment.,Provider Billing Error,Provider Billing Error/Duplicate
PRB14,Payment denied because only one visit or consultation per physician per day is covered.,Provider Billing Error,Provider Billing Error/Other
PRB15,"The authorization number is missing, invalid, or does not apply",Authorization/Precert,Authorization/Precert
PRB16,Payment adjusted because 'New Patient' qualifications were not met.,Provider Billing Error,Provider Billing Error/Other
PRB17,"Payment adjusted because this service was not prescribed by a physician, not prescribed prior to delivery, the prescription is incomplete, or the prescription is not current.",Documentation/Attachments,Documentation/Attachments
PRB18,Payment adjusted because this procedure code and modifier were invalid on the date of service,Provider Billing Error,Provider Billing Error/Modifier
PRB19,Claim/service adjusted because of the finding of a Review Organization.,Other Insurance,Coverage/Workers Comp
PRB2,Covered visits.,Patient Responsibility,Patient Responsibility/Coinsurance
PRB20,Payment adjusted because procedure/service was partially or fully furnished by another provider.,Other Insurance,COB/No Fault
PRB21,The charges were reduced because the service/care was partially furnished by another physician.,Other Insurance,COB/No Fault
PRB22,This care may be covered by another payer,Other Insurance,Other Insurance/Other
PRB23,Payment denied because this provider has failed an aspect of a proficiency testing program.,COB/Other Payer,COB/Other Payer
PRB3,Covered charges.,Patient Responsibility,Patient Responsibility/Copay
PRB4,Late filing penalty.,Appeals/Timely Filing,Appeals/Timely Filing
PRB5,Payment adjusted because coverage/program guidelines were not met or were exceeded.,Coverage/Eligibility,Coverage/Eligibility
PRB6,"This payment is adjusted when performed/billed by this type of provider, by this type of provider in this type of facility, or by a provider of this specialty.",Provider Billing Error,Provider Billing Error/Coding
PRB7,The procedure/revenue code is inconsistent with the patient's gender,Provider Billing Error,Provider Billing Error/Coding
PRB8,The procedure code is inconsistent with the provider type/specialty,Provider Billing Error,Provider Billing Error/Coding
PRB9,The diagnosis is inconsistent with the patient's age,Provider Billing Error,Provider Billing Error/Diagnosis
PRD1,Claim/service denied. Level of subluxation is missing or inadequate.,Coverage/Eligibility,Coverage/Eligibility
PRD10,Claim/service denied. Completed physician financial relationship form not on file.,Documentation/Attachments,Documentation/Attachments
PRD11,Claim lacks completed pacemaker registration form.,Documentation/Attachments,Documentation/Attachments
PRD12,Claim/service denied. Claim does not identify who performed the purchased diagnostic test or the amount you were charged for the test.,Documentation/Attachments,Documentation/Attachments
PRD13,Claim/service denied. Performed by a facility/supplier in which the ordering/referring physician has a financial interest.,Conflict of Interest,Other/Unspecified
PRD14,Claim lacks indication that plan of treatment is on file.,Documentation/Attachments,Documentation/Attachments
PRD15,Claim lacks indication that service was supervised or evaluated by a physician.,Documentation/Attachments,Documentation/Attachments
PRD16,Claim lacks prior payer payment information.,Documentation/Attachments,Documentation/Attachments
PRD17,Claim/Service has invalid non-covered days.,Provider Billing Error,Provider Billing Error/Other
PRD18,Claim/Service has missing diagnosis information.,Provider Billing Error,Provider Billing Error/Diagnosis
PRD19,Claim/Service lacks Physician/Operative or other supporting documentation,Documentation/Attachments,Documentation/Attachments
PRD2,"Claim lacks the name, strength, or dosage of the drug furnished.",Coverage/Eligibility,Coverage/Eligibility
PRD20,Claim/Service missing service/product information.,Documentation/Attachments,Documentation/Attachments
PRD21,Diagnosis missing or invalid,Provider Billing Error,Provider Billing Error/Diagnosis
PRD3,Claim/service denied because information to indicate if the patient owns the equipment that requires the part or supply was missing.,Coverage/Eligibility,Coverage/Eligibility
PRD4,Claim/service does not indicate the period of time for which this will be needed.,Documentation/Attachments,Documentation/Attachments
PRD5,Claim/service denied. Claim lacks individual lab codes included in the test.,Documentation/Attachments,Documentation/Attachments
PRD6,Claim/service denied. Claim did not include patient's medical record for the service.,Documentation/Attachments,Documentation/Attachments
PRD7,Claim/service denied. Claim lacks date of patient's most recent physician visit.,Documentation/Attachments,Documentation/Attachments
PRD8,Claim/service denied. Claim lacks indicator that 'x-ray is available for review.',Documentation/Attachments,Documentation/Attachments
PRD9,"Claim/service denied. Claim lacks invoice or statement certifying the actual cost of the lens, less discounts or the type of intraocular lens used.",Documentation/Attachments,Documentation/Attachments
PRW1,Workers Compensation State Fee Schedule Adjustment,Other Insurance,Coverage/Workers Comp
R2S,Health plan responsibility,Payer Specific,Other/Unspecified
R8366,NON STANDARD ADJUSTMENT CODE FROM PAPER REMITTANCE ADVICE.,Payer Specific,Other/Unspecified
RS704,OUR RECORDS INDICATE THAT THIS DEPENDENT IS NOT AN ELIGIBLE DEPENDENT AS DEFINED.,Documentation/Attachments,Documentation/Attachments
RV059,Payment is denied when performed/billed by this type of provider.,Payer Specific,Other/Unspecified
RVHSC,Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay.,Payer Specific,Other/Unspecified
S1C,Submitted more than once per date of service in history.,Payer Specific,Other/Unspecified
S23,Submitted diagnosis codes do not meet ICD coding logic.,Provider Billing Error,Provider Billing Error/Diagnosis
SF460,Failure to attend Examinations under Oath as required by policy,Payer Specific,Other/Unspecified
SHD,The procedure code is inconsistent with the modifier used or a required modifier is missing.,Provider Billing Error,Provider Billing Error/Modifier
ST,"Medical information requested from your provider of service, they have not replied, until we receive a reply, the claim is denied",Payer Specific,Other/Unspecified
TF1,Claim not covered by this payer/contractor. You must send the claim to the correct payer/contractor.,Payer Specific,Other/Unspecified
TR2,Billing date predates service date.,Payer Specific,Other/Unspecified
UT,"According to our records, this service is not for the direct care or treatment of the patient.  Therefore, according to your plan, no benefits are payable for this expense.",Documentation/Attachments,Documentation/Attachments
W3,Awaiting No-Fault ins info from member for primary cvrge determination,Other Insurance,COB/No Fault
WC1,This (these) diagnosis(es) is (are) not covered.,Provider Billing Error,Provider Billing Error/Diagnosis
WC2,Claim has been controverted by denial date and liability has not been resolved.,Patient Responsibility,Patient Responsibility/Coinsurance
WC3,This (these) service(s) is (are) not covered.,Patient Responsibility,Patient Responsibility/Copay
WE4,"The Contract does not Provide for these Services, Therefore, no Benefits are Payable",Payer Specific,Other/Unspecified
